,year_make,model,details,mileage,Bluetooth,Backup Camera,Infotainment,Screen,Navigation,Hands Free Calling,Heated Seats,Power Seat Controls,Rear Air Vents,Bed Liner,Tow Hitch,4-Cyl,3-Cyl,V6,V8,6-Cyl,city_mpg,highway_mpg,No Reported Accidents,price,url
52,2015 Chevrolet,Malibu,LT,"33,825 miles",1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,25 City,36 Hwy,1,"$19,990",https://www.carvana.com/vehicle/2096046
53,2019 Nissan,Versa,SV,"52,724 miles",1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,31 City,39 Hwy,1,"$18,590",https://www.carvana.com/vehicle/2062779
54,2019 Toyota,Corolla Hatchback,SE,"28,332 miles",1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,32 City,42 Hwy,1,"$24,590",https://www.carvana.com/vehicle/2147591
55,2017 Subaru,Forester,2.5i Premium,"90,692 miles",1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,26 City,32 Hwy,1,"$21,990",https://www.carvana.com/vehicle/2141285
56,2017 Nissan,Rogue Sport,S,"26,232 miles",1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,25 City,32 Hwy,1,"$21,990",https://www.carvana.com/vehicle/2062768
57,2017 Chevrolet,Cruze,LS,"24,242 miles",0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,30 City,40 Hwy,1,"$18,990",https://www.carvana.com/vehicle/2076419
58,2019 Mitsubishi,Outlander Sport,ES,"49,018 miles",1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,24 City,30 Hwy,1,"$21,590",https://www.carvana.com/vehicle/2070074
59,2014 Chrysler,300,300,"77,832 miles",1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,18 City,27 Hwy,1,"$18,990",https://www.carvana.com/vehicle/2036063
60,2015 Mazda,MAZDA5,Touring,"50,389 miles",1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,21 City,28 Hwy,1,"$17,990",https://www.carvana.com/vehicle/2147517
61,2013 Honda,Accord,EX-L,"47,653 miles",1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,"$21,990",https://www.carvana.com/vehicle/2071847
62,2018 Jeep,Cherokee,Latitude Plus,"50,460 miles",1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,19 City,25 Hwy,1,"$24,990",https://www.carvana.com/vehicle/2114565
63,2016 Mazda,MAZDA6,i Grand Touring,"68,032 miles",1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,28 City,40 Hwy,1,"$20,990",https://www.carvana.com/vehicle/1824238
64,2016 Mazda,MAZDA6,i Touring,"60,467 miles",1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,26 City,38 Hwy,1,"$20,990",https://www.carvana.com/vehicle/1906781
65,2012 Lexus,IS,IS 250C,"94,743 miles",1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,21 City,30 Hwy,1,"$23,990",https://www.carvana.com/vehicle/2147530
66,2015 Audi,A6,2.0T Premium Plus,"63,959 miles",0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,"$23,990",https://www.carvana.com/vehicle/2151432
