,year_make,model,details,mileage,Bluetooth,Backup Camera,Infotainment,Screen,Navigation,Hands Free Calling,Heated Seats,Power Seat Controls,Rear Air Vents,Bed Liner,Tow Hitch,4-Cyl,3-Cyl,V6,V8,6-Cyl,city_mpg,highway_mpg,No Reported Accidents,price,url
84,2014 Honda,Civic,EX-L,"46,377 miles",1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,30 City,39 Hwy,1,"$19,990 ",https://www.carvana.com/vehicle/2108737
85,2014 Hyundai,Sonata,GLS,"73,535 miles",1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,24 City,35 Hwy,1,"$16,990 ",https://www.carvana.com/vehicle/2011657
86,2013 Hyundai,Tucson,GLS,"62,665 miles",1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,21 City,30 Hwy,1,"$18,590 ",https://www.carvana.com/vehicle/2108690
87,2013 Scion,FR-S,base,"33,043 miles",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,25 City,34 Hwy,1,"$23,990 ",https://www.carvana.com/vehicle/2047838
88,2014 Ford,Escape,S,"43,684 miles",1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,22 City,31 Hwy,1,"$18,990 ",https://www.carvana.com/vehicle/2116007
89,2010 Toyota,Camry,XLE,"47,352 miles",1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,22 City,32 Hwy,1,"$17,990 ",https://www.carvana.com/vehicle/2021120
90,2013 Honda,Fit,Sport,"66,646 miles",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28 City,35 Hwy,1,"$16,590 ",https://www.carvana.com/vehicle/2099463
91,2012 Lexus,RX,RX 350,"90,514 miles",1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,18 City,25 Hwy,1,"$21,990 ",https://www.carvana.com/vehicle/2119150
92,2013 Mercedes-Benz,C-Class,C 250 Sport,"50,892 miles",1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,22 City,31 Hwy,1,"$19,990 ",https://www.carvana.com/vehicle/2115940
93,2014 Mazda,MX-5 Miata,Club,"18,530 miles",0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,21 City,28 Hwy,1,"$23,990 ",https://www.carvana.com/vehicle/2047953
94,2012 Volkswagen,Jetta,2.5L SEL,"58,549 miles",1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,24 City,31 Hwy,1,"$18,990 ",https://www.carvana.com/vehicle/2060662
95,2014 Volkswagen,CC,2.0T Sport,"51,740 miles",1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,22 City,31 Hwy,1,"$17,990 ",https://www.carvana.com/vehicle/2127383
96,2013 Ford,Edge,SEL,"90,073 miles",1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,"$18,590 ",https://www.carvana.com/vehicle/2150081
97,2014 Chevrolet,Impala,LS,"17,556 miles",1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,21 City,31 Hwy,1,"$22,990 ",https://www.carvana.com/vehicle/2118263
98,2011 Toyota,Camry,LE,"75,680 miles",0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,22 City,32 Hwy,1,"$15,590 ",https://www.carvana.com/vehicle/2080909
99,2012 Toyota,Camry,LE,"91,195 miles",1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,25 City,35 Hwy,1,"$16,990 ",https://www.carvana.com/vehicle/2118280
100,2012 Toyota,Camry,LE,"91,195 miles",1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,25 City,35 Hwy,1,"$16,990 ",https://www.carvana.com/vehicle/2118280
101,2013 Honda,CR-V,LX,"98,553 miles",1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,22 City,30 Hwy,1,"$17,590 ",https://www.carvana.com/vehicle/2160495
102,2014 Toyota,Highlander,LE Plus,"79,126 miles",1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,19 City,25 Hwy,1,"$24,990 ",https://www.carvana.com/vehicle/2054361
103,2013 FIAT,500,Abarth,"13,787 miles",1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,28 City,34 Hwy,1,"$20,990 ",https://www.carvana.com/vehicle/2150167
104,2014 Honda,Civic,EX,"40,273 miles",1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,30 City,39 Hwy,1,"$19,990 ",https://www.carvana.com/vehicle/2153394
105,2014 Honda,Civic,LX,"58,941 miles",1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,30 City,39 Hwy,1,"$17,990 ",https://www.carvana.com/vehicle/2089304
106,2013 Honda,Civic,LX,"79,151 miles",1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,"$16,990 ",https://www.carvana.com/vehicle/2014236
107,2013 Lincoln,MKX,base,"84,529 miles",1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,17 City,23 Hwy,1,"$19,990 ",https://www.carvana.com/vehicle/2150320
108,2014 Mercedes-Benz,GLK-Class,GLK 350,"45,179 miles",1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,19 City,26 Hwy,1,"$25,590 ",https://www.carvana.com/vehicle/2114286
109,2014 Cadillac,XTS,base,"51,318 miles",0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,18 City,28 Hwy,1,"$22,990 ",https://www.carvana.com/vehicle/2126620
110,2013 Ford,C-MAX Energi,SEL,"69,762 miles",1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,"$17,990 ",https://www.carvana.com/vehicle/2135397
111,2014 Mazda,CX-5,Touring,"72,186 miles",1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,25 City,32 Hwy,1,"$19,990 ",https://www.carvana.com/vehicle/2150263
112,2014 Ford,F150 SuperCrew Cab,STX 5 1/2 ft,"71,023 miles",1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,15 City,21 Hwy,1,"$28,590 ",https://www.carvana.com/vehicle/2093393
113,2014 Chrysler,300,300,"41,343 miles",1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,19 City,31 Hwy,1,"$21,590 ",https://www.carvana.com/vehicle/2118520
114,2013 Chevrolet,Cruze,LTZ,"78,423 miles",1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,26 City,38 Hwy,1,"$15,590 ",https://www.carvana.com/vehicle/2062694
115,2014 Ford,Edge,SE,"63,648 miles",1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,"$18,990 ",https://www.carvana.com/vehicle/2054641
116,2014 Ford,F150 SuperCrew Cab,XLT 5 1/2 ft,"73,254 miles",1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,15 City,21 Hwy,1,"$28,590 ",https://www.carvana.com/vehicle/1968408
117,2012 Honda,Civic,LX,"59,279 miles",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,28 City,39 Hwy,1,"$16,990 ",https://www.carvana.com/vehicle/2156743
