,year_make,model,details,mileage,Bluetooth,Backup Camera,Infotainment,Screen,Navigation,Hands Free Calling,Heated Seats,Power Seat Controls,Rear Air Vents,Bed Liner,Tow Hitch,4-Cyl,3-Cyl,V6,V8,6-Cyl,city_mpg,highway_mpg,No Reported Accidents,price,url
368,2012 Honda,Civic,LX,"15,942 miles",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28 City,39 Hwy,1,"$18,590 ",https://www.carvana.com/vehicle/2078026
369,2012 Mazda,MAZDA3,i Touring,"26,589 miles",1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,28 City,40 Hwy,1,"$17,990 ",https://www.carvana.com/vehicle/2038100
370,2012 Dodge,Journey,Crew,"50,949 miles",1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,16 City,24 Hwy,1,"$18,590 ",https://www.carvana.com/vehicle/2122190
371,2012 Toyota,Camry,LE,"30,093 miles",1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,25 City,35 Hwy,1,"$18,990 ",https://www.carvana.com/vehicle/2086200
372,2012 Nissan,370Z,base,"46,843 miles",1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,19 City,26 Hwy,1,"$24,990 ",https://www.carvana.com/vehicle/2065275
373,2012 Acura,TSX,base,"71,888 miles",1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,22 City,30 Hwy,1,"$20,990 ",https://www.carvana.com/vehicle/2101204
374,2012 Honda,Civic,EX-L,"57,203 miles",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,28 City,39 Hwy,1,"$17,990 ",https://www.carvana.com/vehicle/1896736
375,2012 Nissan,JUKE,SL,"80,483 miles",1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,27 City,32 Hwy,1,"$15,990 ",https://www.carvana.com/vehicle/2150496
376,2012 Toyota,Camry,LE,"36,604 miles",1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,25 City,35 Hwy,1,"$17,990 ",https://www.carvana.com/vehicle/2041458
377,2012 Toyota,Tacoma Access Cab,PreRunner 6 ft,"70,801 miles",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19 City,24 Hwy,1,"$24,990 ",https://www.carvana.com/vehicle/2089586
378,2012 Hyundai,Sonata,SE,"13,380 miles",1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,22 City,34 Hwy,1,"$19,590 ",https://www.carvana.com/vehicle/2061079
