,mileage,Bluetooth,Backup Camera,Infotainment,Screen,Navigation,Hands Free Calling,Heated Seats,Power Seat Controls,Rear Air Vents,Bed Liner,Tow Hitch,4-Cyl,3-Cyl,V6,V8,6-Cyl,city_mpg,highway_mpg,price,year,model_cat,details_cat,make_cat
7056,67122,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,22,30,19590,2014,138,687,10
7057,60433,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,22,34,17990,2013,368,547,14
7058,72152,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,25,35,17590,2013,83,547,38
7059,53332,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,23,35,24990,2014,8,96,3
7060,64976,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,21,29,20990,2012,31,37,2
7061,33166,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,22,30,20990,2014,138,547,10
7062,28146,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,18,25,31990,2014,262,331,10
7063,51915,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,28,38,16590,2013,126,325,14
7064,89969,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,15,21,29990,2014,148,762,10
7065,97361,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,17,22,23590,2012,204,422,38
7066,33906,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,29,40,19590,2014,201,247,22
7067,75833,1,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,22,31,20990,2014,91,422,17
7068,28295,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,28,38,17990,2013,126,325,14
7069,45045,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,20,29,21990,2014,134,391,6
7070,2193,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,15,24,66990,2014,262,623,10
7071,29596,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,18,28,29590,2014,439,468,5
7072,4892,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,15,24,63990,2014,262,623,10
7073,34081,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,19,28,34590,2014,119,262,25
7074,7922,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,16,28,50990,2014,107,645,6
7075,67834,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,22,32,18990,2013,394,585,11
