,year_make,model,details,mileage,Bluetooth,Backup Camera,Infotainment,Screen,Navigation,Hands Free Calling,Heated Seats,Power Seat Controls,Rear Air Vents,Bed Liner,Tow Hitch,4-Cyl,3-Cyl,V6,V8,6-Cyl,city_mpg,highway_mpg,No Reported Accidents,price,url
686,2013 Ford,F150 SuperCrew Cab,FX2 5 1/2 ft,"38,925 miles",0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,16 City,22 Hwy,1,"$34,990 ",https://www.carvana.com/vehicle/2141542
687,2013 Jeep,Wrangler,Sport,"11,145 miles",1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,17 City,21 Hwy,1,"$31,590 ",https://www.carvana.com/vehicle/2141676
688,2013 Jeep,Grand Cherokee,SRT8 Vapor,"56,282 miles",0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,12 City,18 Hwy,1,"$42,990 ",https://www.carvana.com/vehicle/1998709
689,2013 Porsche,Boxster,S,"15,852 miles",0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,20 City,28 Hwy,1,"$54,990 ",https://www.carvana.com/vehicle/1963954
690,2013 Toyota,Tacoma Double Cab,5 ft,"44,022 miles",1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,16 City,21 Hwy,1,"$34,990 ",https://www.carvana.com/vehicle/2140923
691,2013 Dodge,Challenger,R/T Plus,"64,952 miles",1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,15 City,23 Hwy,1,"$25,990 ",https://www.carvana.com/vehicle/2050346
692,2013 Chevrolet,Camaro,ZL1,"26,473 miles",1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,12 City,18 Hwy,1,"$42,590 ",https://www.carvana.com/vehicle/2077115
693,2013 Cadillac,CTS,CTS-V,"29,927 miles",0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,12 City,18 Hwy,1,"$51,990 ",https://www.carvana.com/vehicle/2114376
694,2013 Toyota,Tacoma Double Cab,PreRunner 5 ft,"40,846 miles",0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,17 City,21 Hwy,1,"$29,990 ",https://www.carvana.com/vehicle/2111522
695,2013 Lexus,RX,RX 350,"67,484 miles",1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,18 City,25 Hwy,1,"$25,990 ",https://www.carvana.com/vehicle/2144523
