,model,details,mileage,Bluetooth,Backup Camera,Infotainment,Screen,Navigation,Hands Free Calling,Heated Seats,Power Seat Controls,Rear Air Vents,Bed Liner,Tow Hitch,4-Cyl,3-Cyl,V6,V8,6-Cyl,city_mpg,highway_mpg,price,year,make
6257,370Z,base,31105,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,18,25,28990,2013,Nissan
6258,Camaro,SS,34517,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,16,24,27590,2013,Chevrolet
6259,4Runner,SR5,49082,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,17,22,29990,2013,Toyota
6260,Sienna,XLE,56454,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,18,25,25990,2013,Toyota
6261,Corvette,Grand Sport,11675,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,15,25,44990,2013,Chevrolet
6262,Challenger,SRT8 392,10569,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,14,23,40590,2013,Dodge
6263,Sienna,XLE,37596,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,18,25,27990,2013,Toyota
6264,Q5,2.0T Premium,80745,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,20,28,20590,2013,Audi
6265,F150 SuperCrew Cab,FX2 5 1/2 ft,38925,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,16,22,34990,2013,Ford
6266,Wrangler,Sport,11145,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,17,21,31590,2013,Jeep
6267,Boxster,S,15852,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,20,28,54990,2013,Porsche
6268,Tacoma Double Cab,5 ft,44022,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,16,21,34990,2013,Toyota
6269,Challenger,R/T Plus,64952,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,15,23,25990,2013,Dodge
6270,RX,RX 350,67484,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,18,25,25990,2013,Lexus
